Protocol,Benchmark,Algorithm,Instance,Seed,Iteration_Limit,Completed_Iterations,Reward,BKS,BKS_Gap_Percent,Total_Distance,Visited_Customers,Runtime_Seconds,Feasible,Batch_Workers,Source_Record
Fixed iteration,Chao,Ejection OFF,p4.3.d,0,2500,2500,332.0,335.0,0.8955223880597015,78.96082271233931,,1.8525341999993543,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.d,1,2500,2500,332.0,335.0,0.8955223880597015,78.96082271233931,,1.8230712000004128,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.d,2,2500,2500,332.0,335.0,0.8955223880597015,78.96082271233931,,1.7977264000001014,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.d,3,2500,2500,332.0,335.0,0.8955223880597015,78.96082271233931,,1.811867299998994,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.e,0,2500,2500,468.0,468.0,0.0,89.07741705061667,,2.2264391999997315,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.e,1,2500,2500,460.0,468.0,1.7094017094017093,88.98236396181687,,2.369222899998931,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.e,2,2500,2500,468.0,468.0,0.0,89.07741705061667,,2.2852781000001414,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.e,3,2500,2500,468.0,468.0,0.0,89.07741705061667,,2.2789637000005314,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.f,0,2500,2500,567.0,579.0,2.0725388601036268,98.69468845817735,,2.9842733000004955,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.f,1,2500,2500,570.0,579.0,1.5544041450777202,99.71352353701856,,2.9599940000007336,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.f,2,2500,2500,579.0,579.0,0.0,99.51880704888684,,2.825935699998809,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.f,3,2500,2500,579.0,579.0,0.0,99.51880704888684,,2.7549029999991035,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.g,0,2500,2500,644.0,653.0,1.3782542113323124,108.96307270074344,,3.6595497999987856,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.g,1,2500,2500,645.0,653.0,1.225114854517611,109.64202758815404,,3.2231644000003143,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.g,2,2500,2500,617.0,653.0,5.51301684532925,109.39594156428392,,3.7115594999995674,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.g,3,2500,2500,645.0,653.0,1.225114854517611,109.64202758815404,,3.239889399999811,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.h,0,2500,2500,723.0,729.0,0.823045267489712,119.53072146209196,,4.056112999998732,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.h,1,2500,2500,717.0,729.0,1.646090534979424,119.72435435776988,,3.79222049999953,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.h,2,2500,2500,713.0,729.0,2.1947873799725652,118.24408959984903,,4.522859700000481,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.h,3,2500,2500,695.0,729.0,4.663923182441701,119.7038702509574,,4.181645599999683,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.i,0,2500,2500,768.0,809.0,5.067985166872682,127.95189243530324,,4.158790699999372,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.i,1,2500,2500,799.0,809.0,1.2360939431396787,129.43099564946186,,4.542003300000943,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.i,2,2500,2500,790.0,809.0,2.348578491965389,129.1334039316552,,4.491640700000062,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.i,3,2500,2500,778.0,809.0,3.831891223733004,128.67966842846002,,4.00467099999878,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.j,0,2500,2500,850.0,861.0,1.2775842044134726,138.93490876090675,,5.096125999998549,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.j,1,2500,2500,854.0,861.0,0.8130081300813008,139.85318157186958,,5.0413673000002746,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.j,2,2500,2500,809.0,861.0,6.039488966318235,139.37906878947018,,5.131862300000648,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.j,3,2500,2500,847.0,861.0,1.6260162601626016,138.5103965625383,,4.703186200000346,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.k,0,2500,2500,884.0,919.0,3.808487486398259,149.21940538140342,,6.250391100000343,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.k,1,2500,2500,908.0,919.0,1.1969532100108813,149.2361858382222,,5.414723500000036,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.k,2,2500,2500,904.0,919.0,1.632208922742111,148.9825592729497,,5.5427334000014525,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.k,3,2500,2500,908.0,919.0,1.1969532100108813,149.2361858382222,,5.646696800000427,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.l,0,2500,2500,958.0,979.0,2.1450459652706844,159.5362393318784,,5.0925893999992695,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.l,1,2500,2500,953.0,979.0,2.6557711950970377,158.44184751135666,,5.571815900000729,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.l,2,2500,2500,960.0,979.0,1.940755873340143,159.17761660404764,,5.378384100000403,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.l,3,2500,2500,968.0,979.0,1.1235955056179776,158.18089700166388,,5.234321500000078,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.m,0,2500,2500,1063.0,1063.0,0.0,169.40728322271747,,5.04404379999869,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.m,1,2500,2500,973.0,1063.0,8.466603951081844,169.44762733559924,,5.672083600000406,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.m,2,2500,2500,1007.0,1063.0,5.268109125117592,169.35640422074636,,5.683929499999067,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.m,3,2500,2500,996.0,1063.0,6.302916274694262,169.377153868022,,4.897027999999409,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.n,0,2500,2500,1043.0,1121.0,6.9580731489741305,178.72622596974912,,6.024456099999952,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.n,1,2500,2500,1083.0,1121.0,3.389830508474576,179.55273969784696,,5.589785699999993,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.n,2,2500,2500,1074.0,1121.0,4.192685102586976,179.55320323153512,,5.196907400000782,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.n,3,2500,2500,1037.0,1121.0,7.493309545049064,178.6072005974193,,5.442761599999358,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.o,0,2500,2500,1126.0,1172.0,3.9249146757679183,188.3468445739332,,5.232156400001259,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.o,1,2500,2500,1071.0,1172.0,8.617747440273037,188.6401974560996,,6.586339900000894,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.o,2,2500,2500,1136.0,1172.0,3.0716723549488054,189.34292201608028,,5.7361110000001645,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.o,3,2500,2500,1137.0,1172.0,2.986348122866894,189.4824296987777,,5.164319299999988,True,2,02_fixed_2500_ejection_on_off/runs.csv
Fixed iteration,Chao,Ejection OFF,p4.3.p,0,2500,2500,1202.0,1222.0,1.6366612111292962,199.15679290402767,,5.294994600000791,True,2,02_fixed_2500_ejection_on_off/runs.csv
